epoch	lr	loss_train	loss_test	mpjpe_mean(train)	mpjpe_std(train)	mpjpe_mean(test)	mpjpe_std(test)	learnloss_train	learnloss_test	
95	0.00100	2985.04965	2914.06003	73.61853	6.47299	62.51221	6.89255	16.64898	6.65459	
96	0.00100	2974.76767	2980.48656	73.33484	6.55744	64.10733	6.74266	13.08640	7.85688	
97	0.00100	2967.57324	2900.27106	73.39425	6.48962	62.58703	7.12513	18.58459	6.87612	
98	0.00100	2973.57220	2927.16519	73.49989	6.32664	62.98832	6.85763	11.84603	5.59792	
99	0.00100	2965.65369	2954.15543	73.31412	7.16452	63.12212	7.40963	8.91403	78.25343	
100	0.00100	2947.52556	2936.23687	73.01006	6.62883	63.21071	6.91298	9.43406	5.22344	
101	0.00100	2948.86606	2952.23291	73.01408	6.49730	63.18465	6.85375	7.61938	7.69611	
102	0.00100	2941.34677	2931.24422	73.00009	6.31188	62.79510	7.22238	39.58709	7.87864	
103	0.00100	2944.40325	2912.78499	73.02191	6.28559	62.59839	7.46022	11.43948	10.68713	
104	0.00100	2934.65003	2958.11792	72.93850	6.25109	63.03899	7.43047	11.83642	7.03024	
105	0.00100	2945.84486	2924.23161	73.10551	6.49248	62.69067	7.10021	41.35844	30.77469	
106	0.00100	2929.02424	2930.42158	72.86127	6.58306	63.04336	7.04231	15.88675	9.13245	
107	0.00100	2927.98698	2980.67008	72.81859	6.76297	63.61454	6.73240	15.31080	17.07195	
108	0.00100	2943.14036	2938.47002	73.05549	6.55654	63.03662	7.14209	9.53360	15.04153	
109	0.00100	2933.96429	2932.65504	72.84424	6.45447	63.06096	6.69936	10.22485	7.88725	
110	0.00100	2916.22006	2920.47768	72.62297	6.43282	62.45631	7.14375	13.83834	6.19429	
111	0.00100	2896.26417	2983.82147	72.48683	6.02497	63.95695	7.48000	18.45645	10.24695	
112	0.00100	2911.04659	2930.68250	72.61192	6.65756	62.79088	7.55886	51.38574	8.01241	
113	0.00100	2901.32274	2903.73400	72.52797	6.20838	62.44684	7.83474	8.25395	7.43422	
